天,0.1,1.0,0.83695483,0.38038298,0.0,0.32810703,0.6792334,0.0,0.0,0.6380914,0.0,0.9851885,0.26863837,0.0,0.1713868,0.2395785,0.0,0.0,0.23055208
地,0.2,0.19253772,0.47391897,0.46115476,1.0,0.9636595,0.5746283,0.11400666,0.0,0.8819457,0.4882322,0.17834434,0.047327116,0.030750552,0.07431706,0.39876544,0.99006575,0.0,0.0025667888
玄,0.2,0.0,0.2818704,0.0,0.3612449,0.81061596,0.0,0.0,1.0,0.0,0.0,0.17084545,0.0,0.0062381667,0.17185736,0.0,0.0,0.23985492,0.0
黃,0.1,0.6618555,0.59356,0.0,0.0,0.63961506,0.53889,0.0,1.0,0.0,0.9835235,0.115268,0.0,0.0,0.2265138,0.25505084,0.0,0.2295332,0.0
宇,0.3,0.37664047,1.0,0.35738942,0.080813676,0.716737,0.04334018,0.0,0.9281202,0.0,0.9931832,0.99743325,0.23080204,0.9894054,0.18101342,0.41737565,0.0,0.32667768,0.0
宙,0.2,0.9085627,1.0,0.7702312,0.0,0.9278536,0.30200818,0.0,0.19965237,0.6391453,0.9475387,0.14542326,0.1992845,0.0,0.12682928,0.2579511,0.0,0.5302376,0.3035835
洪,0.4,0.47402877,0.23101388,0.57618815,0.28923512,1.0,0.59794587,0.326915,0.0,0.61122745,0.2517683,0.8801323,0.10125255,0.09197596,0.93445885,0.2345557,0.9923049,0.0,0.19835809
荒,0.4,0.9593875,1.0,0.0,0.42152748,0.5868582,0.0,0.5362786,0.6897785,0.18346994,0.06216702,0.11128003,0.0,0.18944046,0.26891404,0.0,0.22668631,0.1164819,0.2651123
日,0.1,0.47554025,0.6722234,0.4713174,0.6158611,0.0,0.6939262,1.0,0.84217566,0.07270224,0.98464566,0.018759947,0.20041572,0.92719054,0.05843741,0.2581546,0.64186794,0.41337505,0.33024058
月,0.3,0.5318955,0.6449173,0.5795054,0.7386649,0.92288256,0.53797793,0.07674054,1.0,0.0,0.24675235,0.10697008,0.23057796,0.28416815,0.2849037,0.2741729,0.375,0.3572535,0.0
盈,0.2,0.35663345,1.0,0.0,0.1153062,0.6547389,0.24480121,0.0,0.9841096,0.0,0.0031202834,0.16475289,0.0,0.21101043,0.26873767,0.25454605,0.0,0.12100195,0.0
昃,0.3,0.053459242,1.0,0.0,0.63507664,0.7712342,0.0,0.74663943,0.35170138,0.5293057,0.12500031,0.16476338,0.0,0.148531,0.14992394,0.0,0.2479855,0.08527692,0.25284177
辰,0.1,0.061395966,0.8854492,0.28452653,0.19901548,0.15801978,1.0,0.0,0.633255,0.57865787,0.14992389,0.17241943,0.022583602,0.24410799,0.0069154245,0.30887234,0.9355595,0.17107585,0.25497195
宿,0.3,1.0,0.90460235,0.6312537,0.94466555,0.0,0.16562605,0.9061138,0.71919304,0.47498673,0.057870436,0.013111519,0.23538217,0.25976044,0.0,0.007951078,0.23399267,0.91555905,0.26944795
列,0.1,0.11045334,0.24391106,0.0,0.13580664,1.0,0.67073876,0.40174365,0.48048484,0.7869042,0.36278135,0.31854686,0.0,0.13493426,0.0605595,0.047612086,0.7571215,0.3496384,0.3604159
